serial,ack_flag_count,act_data_pkt_fwd,active_max,active_mean,active_min,active_std,average_packet_size,avg_bwd_segment_size,avg_fwd_segment_size,bwd_header_length,bwd_iat_max,bwd_iat_mean,bwd_iat_min,bwd_iat_std,bwd_iat_total,bwd_packet_length_max,bwd_packet_length_mean,bwd_packet_length_min,bwd_packet_length_std,bwd_packets_s,destination_port,down_up_ratio,fin_flag_count,flow_bytes_s,flow_duration,flow_iat_max,flow_iat_mean,flow_iat_min,flow_iat_std,flow_packets_s,fwd_header_length,fwd_header_length_1,fwd_iat_max,fwd_iat_mean,fwd_iat_min,fwd_iat_std,fwd_iat_total,fwd_packet_length_max,fwd_packet_length_mean,fwd_packet_length_min,fwd_packet_length_std,fwd_packets_s,fwd_psh_flags,idle_max,idle_mean,idle_min,idle_std,init_win_bytes_backward,init_win_bytes_forward,label,max_packet_length,min_packet_length,min_seg_size_forward,packet_length_mean,packet_length_std,packet_length_variance,psh_flag_count,subflow_bwd_bytes,subflow_bwd_packets,subflow_fwd_bytes,subflow_fwd_packets,syn_flag_count,total_backward_packets,total_fwd_packets,total_length_of_bwd_packets,total_length_of_fwd_packets,urg_flag_count,
794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9174.311927,80.0,1.0,0.0,0.0,109,109.0,109.0,109.0,0.0,18348.62385,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9174.311927,0.0,0.0,0.0,0.0,0.0,236.0,260.0,Web_Attack_Sql_Injection,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,
956,0.0,16.0,0.0,0.0,0.0,0.0,89.67924528,85.78125,95.61904762,1032.0,2138501.0,381896.3871,4.0,757221.7992,11800000.0,976.0,85.78125,0.0,220.240592,2.702956105,22.0,1.0,0.0,401.4734489,11838890,2138501.0,227670.9615,4.0,610735.9917,4.476771049,680.0,680.0,2200813.0,488800.7,535.0,856259.3757,9776014.0,640.0,95.61904762,0.0,140.0451628,1.773814944,0.0,0.0,0.0,0.0,0.0,247.0,29200.0,SSH-Patator,976.0,0.0,32.0,88.01851852,189.5902723,35944.47135,1.0,2745.0,32.0,2008.0,21.0,0.0,32.0,21.0,2745.0,2008.0,0.0,
1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,3001088,2003969.0,1500544.0,997119.0,711950.4626,0.999637465,120.0,120.0,2003969.0,1500544.0,997119.0,711950.4626,3001088.0,0.0,0.0,0.0,0.0,0.999637465,0.0,0.0,0.0,0.0,0.0,-1.0,29200.0,DoS_slowloris,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,
1118,0.0,0.0,7009062.0,7009062.0,7009062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,63128655,32100000.0,10500000.0,996942.0,11900000.0,0.110884669,280.0,280.0,32100000.0,10500000.0,996942.0,11900000.0,63100000.0,0.0,0.0,0.0,0.0,0.110884669,0.0,32100000.0,18700000.0,8023942.0,12200000.0,-1.0,29200.0,DoS_Slowhttptest,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,
1407,1.0,120.0,0.0,0.0,0.0,0.0,1610.110499,3726.626301,4.912934432,67648.0,995259.0,56441.212020000006,1.0,228878.5304,119000000.0,13032.0,3726.626301,0.0,2284.046514,17.72593301,444.0,0.0,0.0,66172.90356,119260295,995259.0,24318.98348000001,-1.0,152794.7907,41.1285248,89312.0,89312.0,997791.0,42745.53082,0.0,200841.3366,119000000.0,5792.0,4.912934432,0.0,110.3961875,23.40259178,0.0,0.0,0.0,0.0,0.0,235.0,235.0,Heartbleed,13032.0,0.0,32.0,1609.782307,2377.9545780000008,5654667.975,0.0,7878088.0,2114.0,13712.0,2791.0,0.0,2114.0,2791.0,7878088.0,13712.0,0.0,
664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198852027,80.0,0.0,0.0,0.0,5028865,5028021.0,1676288.333,99.0,2902685.654,0.795408109,104.0,104.0,5028021.0,2514432.5,844.0,3554750.947,5028865.0,0.0,0.0,0.0,0.0,0.596556082,0.0,0.0,0.0,0.0,0.0,28960.0,29200.0,Web_Attack_XSS,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,
854,0.0,6.0,0.0,0.0,0.0,0.0,12.29166667,12.53333333,11.88888889,488.0,3268615.0,613626.1429,3.0,1192575.123,8590766.0,34.0,12.53333333,0.0,14.54975045,1.746043959,21.0,1.0,0.0,34.33886453,8590849,3268615.0,373515.1739,3.0,966519.2057,2.793670335,296.0,296.0,2634890.0,660016.0,220.0,1197729.543,5280128.0,24.0,11.88888889,0.0,9.571369343999999,1.047626375,0.0,0.0,0.0,0.0,0.0,227.0,29200.0,FTP_Patator,34.0,0.0,32.0,11.8,12.655697,160.16666669999995,1.0,188.0,15.0,107.0,9.0,0.0,15.0,9.0,188.0,107.0,0.0,
215,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,20408.16327,34573.0,1.0,0.0,163265.3061,49,49.0,49.0,49.0,0.0,40816.32653,24.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,20408.16327,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,PortScan,6.0,2.0,24.0,3.333333333,2.309401077,5.333333333,1.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,2.0,0.0,
875,0.0,6.0,0.0,0.0,0.0,0.0,12.20833333,12.53333333,11.66666667,488.0,3496661.0,656524.9286,3.0,1308558.897,9191349.0,34.0,12.53333333,0.0,14.54975045,1.631947349,21.0,1.0,0.0,31.87737156,9191473,3496661.0,399629.2609,3.0,1057898.236,2.611115759,296.0,296.0,3538951.0,728648.75,48.0,1388604.201,5829190.0,22.0,11.66666667,0.0,9.273618495,0.97916841,0.0,0.0,0.0,0.0,0.0,227.0,29200.0,FTP_Patator,34.0,0.0,32.0,11.72,12.58146785,158.2933333,1.0,188.0,15.0,105.0,9.0,0.0,15.0,9.0,188.0,105.0,0.0,
908,0.0,16.0,0.0,0.0,0.0,0.0,89.67924528,85.78125,95.61904762,1032.0,2664248.0,399893.0968,3.0,809057.3063,12400000.0,976.0,85.78125,0.0,220.240592,2.581306309,22.0,1.0,0.0,383.4046527,12396824,2664248.0,238400.4615,3.0,651341.9178,4.275288574,680.0,680.0,2718666.0,546024.3,513.0,967542.6113,10900000.0,640.0,95.61904762,0.0,140.0451628,1.693982265,0.0,0.0,0.0,0.0,0.0,247.0,29200.0,SSH-Patator,976.0,0.0,32.0,88.01851852,189.5902723,35944.47135,1.0,2745.0,32.0,2008.0,21.0,0.0,32.0,21.0,2745.0,2008.0,0.0,
